Date,Actual,ARIMA_Forecast,SARIMA_Forecast,ARIMA_Error,SARIMA_Error,ARIMA_Abs_Error,SARIMA_Abs_Error
2023-08-01,1009.1208,1000.0914165001775,1004.5349954529707,9.02938349982253,4.585804547029284,9.02938349982253,4.585804547029284
2023-09-01,1015.4252,1011.9392669783272,1013.1130158014602,3.4859330216728495,2.3121841985398532,3.4859330216728495,2.3121841985398532
2023-10-01,1019.8715,1016.5135448069158,1016.6752620393842,3.3579551930841944,3.196237960615804,3.3579551930841944,3.196237960615804
2023-11-01,1035.2892,1020.9207655930353,1028.1174846337876,14.368434406964639,7.171715366212311,14.368434406964639,7.171715366212311
2023-12-01,1065.9433,1039.7847860882928,1055.7476550734698,26.158513911707132,10.195644926530122,26.158513911707132,10.195644926530122
2024-01-01,1055.235,1074.202017558003,1064.5894516381527,-18.967017558003135,-9.354451638152796,18.967017558003135,9.354451638152796
2024-02-01,1044.3938,1049.3395439427893,1040.8396635624176,-4.94574394278925,3.5541364375824287,4.94574394278925,3.5541364375824287
2024-03-01,1034.8498,1042.8532605412352,1039.5318968820172,-8.0034605412352,-4.682096882017277,8.0034605412352,4.682096882017277
2024-04-01,1040.0418,1032.3428366086202,1046.2284762738723,7.698963391379721,-6.186676273872308,7.698963391379721,6.186676273872308
2024-05-01,1048.8447,1042.446724811274,1041.1324998171922,6.39797518872615,7.712200182807919,6.39797518872615,7.712200182807919
2024-06-01,1059.8888,1050.8467595044226,1056.1433665935022,9.04204049557734,3.7454334064977957,9.04204049557734,3.7454334064977957
2024-07-01,1063.4737,1062.7233935841232,1063.188191582672,0.7503064158768211,0.2855084173279465,0.7503064158768211,0.2855084173279465
2024-08-01,1071.6994,1063.7088269951157,1068.3821409304715,7.990573004884254,3.317259069528518,7.990573004884254,3.317259069528518
2024-09-01,1073.2877,1074.203956052873,1075.4637162649426,-0.9162560528729955,-2.1760162649425183,0.9162560528729955,2.1760162649425183
2024-10-01,1074.2853,1073.0007545919761,1073.3482070886741,1.2845454080238596,0.9370929113258626,1.2845454080238596,0.9370929113258626
2024-11-01,1080.2831,1074.6877509008734,1082.1888098467607,5.595349099126679,-1.905709846760601,5.595349099126679,1.905709846760601
